Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Varicose veins,Nằm thẳng và kê cao chân,Thoa kem hỗ trợ tĩnh mạch,Mang vớ y khoa,Không đứng yên một chỗ quá lâu
AIDS,Băng kín các vết thương hở,Sử dụng đồ bảo hộ y tế nếu có thể,Tham khảo ý kiến chuyên gia,Theo dõi và điều trị ARV
Paralysis (brain hemorrhage),Vật lý trị liệu/Massage,Ăn uống lành mạnh,Tập vận động phục hồi,Tuân thủ phác đồ của bác sĩ
Typhoid,Ăn rau củ nấu chín mềm,Điều trị bằng kháng sinh theo đơn,Tham khảo ý kiến bác sĩ,Uống thuốc đúng giờ
Hepatitis B,Đến ngay bệnh viện gần nhất,Tiêm vắc xin cho người nhà,Ăn uống lành mạnh,Dùng thuốc theo chỉ định
Fungal infection,Tắm rửa sạch sẽ ngày hai lần,Sử dụng xà phòng diệt khuẩn/lá neem,Giữ vùng da bị nhiễm trùng luôn khô ráo,Mặc quần áo sạch và thoáng mát
Hepatitis C,Đến ngay bệnh viện gần nhất,Kiểm tra sức khỏe định kỳ,Ăn uống lành mạnh,Dùng thuốc theo chỉ định
Migraine,Ngồi thiền/Thư giãn,Giảm căng thẳng,Đeo kính râm khi ra nắng,Tham khảo ý kiến bác sĩ
Bronchial Asthma,Mặc quần áo rộng rãi thoải mái,Hít thở sâu và chậm,Tránh xa các tác nhân gây dị ứng,Tìm kiếm sự trợ giúp y tế
Alcoholic hepatitis,Ngừng uống rượu bia ngay lập tức,Tham khảo ý kiến bác sĩ,Dùng thuốc theo chỉ định,Theo dõi và tái khám
Jaundice,Uống nhiều nước,Sử dụng thảo dược bổ gan (Milk thistle),Ăn nhiều trái cây và thực phẩm giàu chất xơ,Dùng thuốc theo chỉ định
Hepatitis E,Ngừng uống rượu bia,Nghỉ ngơi hoàn toàn,Tham khảo ý kiến bác sĩ,Dùng thuốc theo chỉ định
Dengue,Uống nước ép lá đu đủ,Tránh thức ăn nhiều dầu mỡ và cay nóng,Phòng tránh muỗi đốt,Bổ sung nhiều nước và điện giải
Hepatitis D,Tham khảo ý kiến bác sĩ,Dùng thuốc theo chỉ định,Ăn uống lành mạnh,Theo dõi và tái khám
Heart attack,Gọi cấp cứu ngay lập tức,Nhai hoặc nuốt Aspirin (nếu không dị ứng),Giữ bình tĩnh và ngồi nghỉ ngơi,
Pneumonia,Tham khảo ý kiến bác sĩ,Điều trị bằng kháng sinh theo đơn,Nghỉ ngơi hoàn toàn,Theo dõi và tái khám
Arthritis,Tập thể dục nhẹ nhàng,Chườm nóng và chườm lạnh luân phiên,Thử nghiệm châm cứu,Massage giảm đau
Gastroenteritis,Ngừng ăn thức ăn đặc một thời gian,Uống từng ngụm nước nhỏ thường xuyên,Nghỉ ngơi,Bắt đầu ăn lại từ từ với thức ăn mềm
Tuberculosis,Đeo khẩu trang che miệng,Tuân thủ phác đồ điều trị của bác sĩ,Uống thuốc đúng giờ và đủ liều,Nghỉ ngơi đầy đủ
