chunk_text,mapped_symptoms,doctor_answer
Khoang tai nổi mụn lạ chứa dịch nhầy phải làm sao?,swollen_blood_vessels,"Với triệu chứng khoang tai nổi mụn lạ chứa dịch nhầy như trường hợp của bạn, bác sĩ cần phải nội soi tai kiểm tra và đôi khi cần một số xét nghiệm khác để chẩn đoán đúng bệnh."
"Tôi có bệnh thiếu máu cơ tim nay do tập thể dục thường xuyên nên đã giảm, huyết áp thương là 13-9, có bệnh đau đầu không rõ nguyên nhân từ khi 12 tuổi tới giờ, có lần tôi bị dị ứng với thuốc giảm đau vậy tôi có chủng ngừa vaccine Covid-19 được không thưa bác sĩ?",headache,"Nếu tình trạng thiếu máu cơ tim hện tại của Anh/Chị đã cải thiện, HA ổn định và tình trạng dị ứng mức độ nhẹ thì vẫn có thể tiêm phòng vaccine Covid-19 tại cơ sở tuyến bệnh viện được."
"Cách đây 3 năm, em bị dị ứng mẩn ngứa tôm, cua, cá... uống thuốc tây mới khỏi. Sau đó, em uống nam thì bớt hẵng. Nhưng hiện tại cơ thể em rất dễ phát nhiệt, lỗ tai hay lùng bùng, da nóng ran do ăn, uống đồ nóng như nước mắm cay, trà gừng hòa tan, vải thiều...Cơ thể em hơi gầy, hay bị đau đầu, choáng mặt và buồn nôn. Em đã từng uống thuốc thiếu máu não, rối loạn tiền đình, viêm xoang... Sắp tới công ty em có đợt chích vaccine Covid-19 tập trung, em có thể chích trong dịp này không?","nausea, itching, headache, shivering","Theo bạn chia sẻ thì có bị dị ứng tôm cua, có 2 trường hợp để bạn biết mình có thể tiêm được vaccine Covid-19 hay không gồm: - Nếu trường hợp bạn dị ứng có khó thở, có tím tái phải nhập viện thì trường hợp này chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn của Bộ Y tế. - Nếu bạn chỉ bị nổi mẩn đỏ ít trên da, không cần điều trị, tự hết thì vẫn có thể tiêm vaccine Covid-19, tuy nhiên bạn cần tiêm tại bệnh viện hoặc các cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu."
"Em có tiền sử mang thai 2 lần bị tiền sản giật, một lần bị nặng, thai lưu, bị tiểu đường thai kỳ. Bình thường tim đập nhanh, mạch nhanh, thỉnh thoảng bị đau ngực trái, tuyến giáp bình thường. Em có thể tiêm vaccine Covid-19 được không?",chest_pain,"Những trường hợp có bệnh lý nền được theo dõi, điều trị và thăm khám định kỳ, bệnh đã vào giai đoạn ổn định vẫn đủ điều kiện tiêm phòng vaccine Covid-19. Đối với trường hợp của chị, bệnh nền vẫn chưa được kiểm soát và điều trị ổn định. Điều quan trọng nhất ở thời điểm hiện tại, chị nên đến các cơ sở y tế như bệnh viện để được thăm khám, đánh giá và thăm dò chức năng tim mạch trước khi có quyết định tiêm vaccin Covid-19."
Nguyên nhân và điều trị tình trạng ngứa khắp người trong thời gian dài,itching,"Với những triệu chứng mô tả thì có thể em bị bệnh mày đay, em nên đến khám chuyên khoa da liễu để xác định nguyên nhân và điều trị sớm nhé."
Vợ em bị ứ dịch tử cung. Nếu em làm IVF thì tỷ lệ thành công là khoảng bao nhiêu?,fluid_overload,"Để đưa ra một con số cụ thể về tỷ lệ thành công của một cặp vợ chồng, các bác sĩ cần đánh giá toàn diện chức năng sinh sản của hai vợ chồng, bao gồm lứa tuổi, đặc điểm nền, các chỉ số nội tiết sinh dục, dự trữ buồng trứng của người vợ cũng như tính chất tinh trùng của người chồng."
Đau đầu chóng mặt sau tập thể thao có sao không?,"headache, dizziness","Choáng váng sau khi tập thể dục có thể liên quan tới huyết áp, hoặc hạ đường máu. Bạn có thể đo huyết áp, và uống 1 viên thuốc giảm đau Paracetamol) và theo dõi đáp ứng. Cần đi khám nếu đau cường độ mạnh, buồn nôn/nôn, chóng mặt tăng, yếu tay chân, hoặc sốt."
"Hoa mắt, chóng mặt kèm đau tức ngực là dấu hiệu bệnh gì?",dizziness,"Biểu hiện triệu chứng của bạn khá mơ hồ, có thể gặp ở rất nhiều bệnh khác nhau (như các bệnh lý nội tiết, tim mạch,...) nên bác sĩ rất khó hướng dẫn điều trị khi chưa xác định rõ tình trạng, cũng như nguyên nhân. Do đó, bạn nên đến cơ sở y tế khám để được tư vấn cụ thể, chính xác nhất."
Nguyên nhân đau đầu kèm mệt mỏi?,"headache, fatigue, malaise","Đau đầu kèm mệt mỏi có nhiều nguyên nhân gây ra, có thể là đau đầu căng thẳng, hoặc đau đầu do nguyên nhân mạch máu, đau đầu dạng chuỗi,... Bạn cần đi khám bác sĩ nội thần kinh để được khám và chẩn đoán điều trị.Nhiều trường hợp đau đầu đã có sẵn trong người, chỉ chờ những yếu tố thuận lợi (stress, sốc tình cảm, tâm lý), yếu tố thúc đẩy (chế độ sinh hoạt, thời gian làm việc kéo dài)... làm tăng sinh các gốc tự do đủ để xảy ra triệu chứng đau đầu, tổn thương thần kinh, mạch máu và làm tổn hại cấu trúc của não.Thời gian điều trị chung cho các chứng đau đầu thường là 3 tháng, sau đó có thể ngưng thuốc. Tuy nhiên, khi các triệu chứng kèm theo như: mất ngủ, lo âu... chưa được kiểm soát tốt, thời gian điều trị có thể kéo dài hơn. Song song với việc điều trị bằng thuốc, bệnh nhân cần hạn chế sử dụng rượu bia, hút thuốc lá, tránh stress tâm lý, đảm bảo giấc ngủ tốt, ăn uống điều độ và đầy đủ dinh dưỡng."
Đau đầu cảm cúm uống thuốc gì để nhanh khỏi?,headache,"Khi bị cảm cúm, nhiễm siêu vi thông thường bạn có thể bổ sung vitamin C, uống nhiều nước. Nếu đau đầu nhiều, sốt > 38, 5 độ có thể uống thuốc giảm đau Paracetamol 500mg với liều 1 viên, uống cách nhau 4- 6 giờ. Tuy nhiên, trước khi uống thuốc bạn cũng nên đến gặp bác sĩ để xác định có đúng chỉ nhiễm siêu vi không cũng như được tư vấn các lưu ý trong điều trị cảm cúm. Bên cạnh đó, bạn nên hạn chế việc tự ý dùng thuốc khi chưa có ý kiến của bác sĩ."
"Ngừng thở, khó thở khi ngủ là dấu hiệu bệnh gì?",breathlessness,"Ngưng thở tắc nghẽn khi ngủ (OSA) là sự rối loạn trong giấc ngủ, trong đó có hiện tượng ngưng thở hơn 10 giây hay giảm thông khí lặp đi lặp lại nhiều lần trong đêm kèm triệu chứng ngủ ngáy và ngủ ngày quá mức. Chứng ngưng thở tắc nghẽn này thỉnh thoảng xảy ra làm cho bạn phải tỉnh giấc khi đang ngủ ngon. Nếu xảy ra thường xuyên và không được điều trị thì theo thời gian có thể phát triển thành các vấn đề sức khỏe nghiêm trọng. OSA thường gặp ở nam giới, phụ nữ sau tuổi mãn kinh và những người trên 65 tuổi. OSA cũng có thể xảy ra ở trẻ em. Những người thừa cân có nhiều khả năng bị OSA. Chứng ngưng thở khi ngủ OSA có thể xảy ra ở những người có amidan hoặc VA lớn nhưng cũng có thể xảy ra ở những người có kích thước amidan hoặc VA bình thường và những người có một số vấn đề về xương hàm dưới. Những người có vấn đề về xương hàm dưới thường gặp khó khăn trong việc giữ mô mềm ở họng thông thoáng. Các tình trạng này gọi là tật xương hàm dưới nhỏ và tật tụt xương hàm dưới. Trường hợp của bạn đang trẻ với triệu chứng như bạn mô tả trước mắt chỉ có thể thấy bạn có biểu hiện của giấc ngủ không tốt, thi thoảng hay giật mình thức giấc. Bạn bị polyp mũi nhưng bạn không cung cấp kích thước của polyp, có gây cản trở hô hấp chưa, bạn có béo phì thừa cân không, . . . nên bác sĩ chưa thể tư vấn chính xác cho bạn. Để chẩn đoán chắc chắn bạn có bị ngưng thở khi ngủ không và mức độ như thế nào, có cần điều trị không, bạn cần đặt lịch khám với bác sĩ chuyên khoa Hô hấp để được thăm khám lâm sàng. Các bác sĩ sẽ đánh giá tình trạng lâm sàng, các yếu tố nguy cơ dựa trên các bảng hỏi hoặc đo đa ký giấc ngủ từ đó mới có chẩn đoán xác định bạn có ngừng thở khi ngủ không. Từ đó, bác sĩ mới quyết định có cần điều trị không."
Trẻ ọc sữa nhiều khiến việc tăng cân chậm phải làm sao?,weight_gain,"Con bạn được 1 tháng 5 ngày, bú mẹ hoàn toàn, đi tiểu và đi phân bình thường nhưng hay ọc sữa và lên cân chậm so với tiêu chuẩn. Như vậy có thể ọc sữa nhiều ảnh hưởng tới việc tăng cân của trẻ. Trước hết bạn cần cho trẻ bú sữa đúng cách (bú theo nhu cầu, khoảng 2 - 3 h/lần, bú cả sữa đầu lẫn sữa cuối, sau bú vỗ ợ hơi cho con. . . ). Nếu làm như vậy con vẫn không tăng cân và vẫn ọc sữa nhiều bạn nên khám chuyên khoa, thăm dò xem liệu bé có bị hội chứng trào ngược dạ dày - thực quản hay có vấn đề gì khác không nhé."
"Nổi mề đay, ù tai, mệt mỏi sau uống thuốc loét hành tá tràng có sao không?","fatigue, swollen_blood_vessels, malaise","Thường đơn thuốc điều trị dạ dày nếu có dùng kháng sinh để diệt vi khuẩn HP thì kéo dài chỉ khoảng 2 tuần. Bạn uống thuốc 1 tháng nay chắc không phải nổi mề đay do dị ứng thuốc. Bạn còn trẻ, nếu gắng sức mà có cảm giác mệt mỏi tụt huyết áp có thể do bạn ít tập luyện nên sức bền và khả năng gắng sức không tốt chứ không phải là biểu hiện của bệnh lý gì.Để nâng cao sức bền và nâng cao khả năng gắng sức cần phải kiên trì tập luyện hàng ngày và nâng dần các bài tập lên. Bạn cũng có thể đến thăm khám bác sĩ để được tư vấn cụ thể."
Bị khó chịu ở lưỡi phải làm gì? Có nên đi khám không?,malaise,"Bác sĩ khuyên cô nên vệ sinh răng miệng hàng ngày, dùng bàn chải mềm chải sạch, nhẹ nhàng lưỡi và súc miệng thêm nước muối loãng, nếu không đỡ cô nên đến bệnh viện để được thăm khám trực tiếp."
"Bị nghẹt mũi 1 tuần, không kèm triệu chứng nào khác thì nên uống thuốc gì ?",congestion,"nghẹt mũi là triệu chứng của nhiều bệnh như: Viêm mũi, viêm mũi dị ứng, viêm mũi xoang cấp – mãn, lệch vách ngăn mũi,... Em nên đăng ký khám Tai - Mũi - Họng để được bác sĩ chuyên khoa tư vấn rõ hơn."
"cách đây 2 năm khi cắt chỉ từ vết mổ khối áp xe ở tay, em bị co giật 3 tiếng, dù trước đó bác sĩ không tiêm kháng sinh, chỉ dùng thuốc tê. Em tỉnh táo nhưng chân tay bên phải giật rung bần bật (áp xe ở tay trái). Ngoài ra e bị một số dị ứng như da thường tự nhiên bị đỏ ngứa từng đám, viêm mũi dị ứng quanh năm. Em cũng bị huyết áp thấp và thỉnh thoảng rối loạn tiền đình. Vậy em xin hỏi có bị hạn chế tiêm vaccine Covid-19 của AstraZeneka không ạ?","itching, shivering","Trường hợp của anh/chị cần kiểm tra lại tình trạng co giật và các bệnh lý có liên quan tại chuyên khoa để có kết luận chính xác về tình trạng bệnh. Sau đó, anh/chị có thể đến điểm tiêm khối bệnh viện và chia sẻ thông tin bệnh lý, tiền sử dị ứng để bác sĩ thăm khám và tư vấn cụ thể hơn."
"Vợ chồng em ở Hưng Yên muốn ra Hà Nội khám hiếm muộn và có ý định làm IVF với bác Hoàng, bác Quý thì có thể đặt lịch online được không? Thường thì bên Trung tâm hỗ sợ sinh sản bệnh viện Tâm Anh có làm viêc cuối tuần không?",shivering,"Thông thường để thực hiện một lộ trình IVF tại Bệnh viện Tâm Anh sẽ cần cả ê kíp các bác sĩ cùng tham gia thực hiện nhưng theo phác đồ của Giám đốc Trung tâm hỗ trợ sinh sản của bệnh viện. Hơn nữa, các bác sĩ khác ở trung tâm hỗ trợ sinh sản đều là các bác sĩ có chuyên môn cao, có nhiều năm kinh nghiệm nên anh chị hoàn toàn có thể yên tâm."
Bị xuất huyết dưới nhện gây đau đầu mỏi vai gáy cần khắc phục thế nào?,headache,"Xuất huyết dưới nhện sau chấn thương thường gây đau đầu theo nhiều mức độ, tùy thuộc mức độ xuất huyết do màng não bị tổn thương. Triệu chứng có thể kéo dài vài tháng, bạn cần khám và theo dõi định kỳ ít nhất 6 tháng tại cơ sở y tế để đảm bảo chắc chắn không chảy máu tái phát, sử dụng thuốc giảm đau phù hợp và có thể kết hợp vật lý trị liệu."
"Nghẹt mũi, hắt xì khi dùng điều hòa là dấu hiệu của bệnh gì?",congestion,"Khi mở máy lạnh thường dẫn đến sự thay đổi nhiệt độ và độ ẩm đột ngột, nhiều người bệnh có tình trạng viêm mũi vận mạch hoặc viêm mũi dị ứng sẽ có dấu hiệu tăng lên. Cháu bé mới 9 tuổi nên cần kiểm tra kỹ nhiều vấn đề (Amidan và VA to quá không, có bị dị hình vách ngăn không, có polyp mũi hay không, có tình trạng viêm mũi dị ứng hay không). Tùy từng nguyên nhân cụ thể, sẽ có nhiều phương pháp có thể giúp bé cải thiện được vấn đề này. Bạn đưa bé tới khoa Tai - Mũi - Họng để được thăm khám và tư vấn cụ thể."
Thường xuyên nổi mày đay điều trị thế nào?,swollen_blood_vessels,"Mày đay có thể do nhiều nguyên nhân, tổng hợp thì có 5 nhóm nguyên nhân chính: Nguyên nhân thông thường (do thức ăn, tiếp xúc, thuốc), nhiễm trùng (nhiễm trùng vùng hầu họng, ký sinh trùng, nấm,...), vật lý (vận động, chèn ép, nhiệt độ, ánh sáng, thay đổi nguồn nước,...), bệnh hệ thống (cường giáp, đái tháo đường, lupus, viêm mạch, ung thư), di truyền. Một số trường hợp khó xác định được tác nhân gây dị ứng, ví dụ như một loại thức ăn không gây dị ứng nhưng khi kết hợp với một loại thức ăn khác lại gây dị ứng. Với tình trạng của bác thì không biết lần này bác đã bị triệu chứng như vậy bao lâu rồi, có thêm các triệu chứng khác như: Thở khò khè, sốt, hạch to, mày đay kéo dài hơn 48 giờ không,... Điều trị mày đay là tìm nguyên nhân và giảm triệu chứng (bằng các thuốc kháng histamin). Bác có nghi ngờ mình thuộc nhóm nguyên nhân nào vừa nêu ở trên không, nếu xác định được nguyên nhân là cách tốt nhất để tránh tình trạng này lặp lại.Vì thế, bác nên đến thăm khám bác sĩ chuyên khoa Da liễu để được tư vấn cụ thể."
Chỉ số bạch cầu trung tính 6.56 G/l có bình thường không?,shivering,"Bạch cầu trung tính là tế bào máu có chức năng bảo vệ cơ thể, giá trị bình thường có thể thay đổi theo tuổi, giới và theo từng phòng xét nghiệm. Tại Bệnh viện Vinmec Times City, giá trị tham khảo ở người lớn là 1, 7- 7, 5 G/l. Số lượng bạch cầu trung tính của em là 6. 56 G/l nằm trong giới hạn bình thường, không chỉ điểm bệnh lý em nhé."
"Em bị K giáp giai đoạn 1, đã cắt toàn bộ tuyến giáp 3 năm, hiện em bị suy giáp, giữ nước ở mặt và chân tay. Tim lúc nhanh lúc chậm. Cơ thể thường xuyên nổi mẫn đỏ do nóng từ các loại thuốc uống nhiều năm. Vậy xin hỏi em có chích ngừa vaccine Covid-19 được không ạ? Ngoài ra em bị bệnh rối loạn lo âu, trầm cảm.","anxiety, swollen_blood_vessels, depression","Theo thông tin mà bạn cung cấp, các bệnh lý của bạn vẫn chưa được kiểm soát/chưa ổn định nên tạm thời trì hoãn tiêm chủng vaccine Covid-19. Trong giai đoạn này, bạn cần gặp bác sĩ để điều trị bệnh suy giáp và rối loạn lo âu cho đến khi bệnh ổn định thì bạn có thể quay trở lại để tiêm chủng vaccine Covid-19. Trong giai đoạn này, bạn hãy tuân thủ theo các biện pháp phòng bệnh khác của Chính phủ để phòng bệnh hiệu quả như thông điệp 5K."
